epoch,train_loss,val_loss,val_auc,lr
1,0.093117,0.045113,0.833631,0.001
2,0.042358,0.03916,0.875961,0.001
3,0.039077,0.037432,0.903881,0.001
4,0.037076,0.035238,0.918971,0.001
5,0.035766,0.035254,0.921209,0.001
6,0.03466,0.033941,0.932033,0.001
7,0.033587,0.03358,0.928814,0.001
8,0.032628,0.033459,0.932368,0.001
9,0.031692,0.032612,0.940268,0.001
10,0.030732,0.032256,0.942895,0.001
11,0.029845,0.032088,0.943425,0.001
12,0.029056,0.03156,0.946418,0.001
13,0.028245,0.031422,0.949094,0.001
14,0.027411,0.031427,0.951192,0.001
15,0.026618,0.031986,0.949793,0.001
16,0.02601,0.03117,0.952303,0.001
17,0.025248,0.031019,0.952748,0.001
18,0.024624,0.031126,0.951213,0.001
19,0.024036,0.031001,0.953177,0.001
20,0.023423,0.031388,0.950678,0.001
21,0.022811,0.031115,0.95489,0.001
22,0.022169,0.031012,0.950573,0.001
23,0.021735,0.030946,0.9529,0.001
24,0.021297,0.030687,0.955343,0.001
25,0.020677,0.031125,0.956251,0.001
26,0.02007,0.031404,0.957714,0.001
27,0.019879,0.031144,0.957021,0.001
28,0.019342,0.03167,0.958836,0.001
29,0.019097,0.030652,0.956972,0.001
30,0.018654,0.031047,0.958413,0.001
31,0.018092,0.031513,0.954453,0.001
32,0.0179,0.030923,0.959995,0.001
33,0.017833,0.031657,0.95731,0.001
34,0.017203,0.030866,0.958805,0.001
35,0.016937,0.031647,0.962097,0.001
36,0.016707,0.030827,0.961459,0.001
37,0.016446,0.031902,0.958337,0.001
38,0.016173,0.031295,0.960825,0.001
39,0.015908,0.03178,0.958573,0.001
40,0.015757,0.032184,0.96032,0.0005
41,0.012973,0.030887,0.961724,0.0005
42,0.012095,0.031689,0.960605,0.0005
43,0.011615,0.03208,0.957577,0.0005
44,0.011292,0.032587,0.958177,0.0005
45,0.011006,0.03299,0.958893,0.00025
