epoch,train_loss,train_bce,train_gate,train_phase,val_loss,val_auc,lr
1,0.13246068881446685,0.0865588929247705,3.711407190647678,0.8787725260076316,0.04706070593946615,0.8358676373870982,0.0009755527298894294
2,0.08296624562311647,0.047387788929315146,3.165890600370324,0.3919551458371722,0.04174511888439954,0.8757645098191379,0.0009046039886902864
3,0.07144283680785177,0.044235573538268604,2.5172636603963547,0.20346276027460894,0.04125618783043362,0.9044326619440458,0.0007940987335200904
4,0.06416479844694445,0.04229883356627239,2.060169537862142,0.12642700597643852,0.03784763063666782,0.9127133268541346,0.0006548539886902864
5,0.05886362341529541,0.041015306207607835,1.6945973703826682,0.09023439302446618,0.03635036132400886,0.925580033694853,0.0005005000000000001
6,0.05518702137877868,0.03974742500408404,1.4734139144420624,0.07054573988568956,0.036459022159576235,0.9188573772293086,0.0003461460113097139
7,0.05245245123565521,0.03900503575045993,1.2850973023020702,0.05964429025956686,0.03484043546369586,0.9356664196311764,0.00020690126647990973
8,0.0519630985395254,0.038639630869273904,1.2786222452270812,0.05372454873893572,0.034713733164166864,0.9336163538453837,9.639601130971382e-05
9,0.050045850494390594,0.03794219324608212,1.1592608601718708,0.05110488861016389,0.03418518893424651,0.9371911902220934,2.5447270110570814e-05
10,0.04951836679306259,0.03750298280889789,1.15183069654133,0.04970773221061066,0.03389037866547931,0.9384267689523342,0.001
11,0.04949725555944378,0.03978125405146916,0.9269088422474654,0.04469132304623507,0.035266220854932744,0.9323766156003896,0.0009938503261272714
12,0.0458751266747983,0.038958194301180214,0.6550809020797411,0.0366123435087502,0.036339949577190264,0.9376399805581834,0.0009755527298894294
13,0.04339854052776228,0.03834515293061301,0.47418392255254416,0.03115485764135593,0.03391174825667304,0.9472732040629778,0.0009455577588320898
14,0.041378878188602954,0.037740781559082476,0.3356334400781687,0.02817622404140623,0.03486846956053143,0.9489711565475558,0.0009046039886902864
15,0.040124254891702876,0.037254041647943464,0.2616460045826608,0.025375322104715135,0.03543368583544947,0.9458158034040878,0.0008536998372026805
16,0.03920706142536432,0.03690425988178754,0.20729330017406872,0.022986856977576794,0.034494645082241863,0.9497584520990908,0.0007940987335200904
17,0.03753396599432048,0.035912397472808756,0.1406767036009958,0.021480152582533767,0.03235778777315662,0.954525801306176,0.0007272682546199037
18,0.036873871764249125,0.035454605830887304,0.1220745875135712,0.01985201202130512,0.03264515578708376,0.9527082360700625,0.0006548539886902864
19,0.03672873080654097,0.03544240720583585,0.10934895252727944,0.01928341593525872,0.032519378038672,0.9529904222025448,0.0005786390152875954
20,0.03603991013749138,0.03495057204238854,0.09079951967072228,0.018134293541231233,0.03151120372919423,0.9586346285366002,0.0005005000000000001
21,0.03510516765864863,0.034197514552785004,0.07332421466708183,0.017441093570728233,0.03205719282830142,0.9575598892212029,0.00042236098471240487
22,0.034277402185092586,0.0334648244501348,0.06465637068385663,0.01660140911184683,0.03226305904108281,0.9567095989804498,0.0003461460113097139
23,0.03413939934588321,0.033349229842829314,0.06322318705581668,0.01579376978738962,0.03497995878469142,0.953730657217863,0.00027373174538009644
24,0.03392759815830251,0.03317651385778858,0.06011167310340249,0.014996755127525092,0.030945839808538104,0.960069429717055,0.00020690126647990973
25,0.03333409130910708,0.03263704246247484,0.054893258176204086,0.014811621906330296,0.03115202222267184,0.960017006411318,0.00014730016279731955
26,0.03350438165437916,0.032773758163270744,0.05850191249687602,0.014560440187409951,0.03071124208005572,0.9606261348141532,9.639601130971382e-05
27,0.033280209631429636,0.03256216617571055,0.05766620096899029,0.014138156855208934,0.03021922939600861,0.9625307120803018,5.544224116791029e-05
28,0.032474231200994574,0.0318354453884767,0.050037097685255,0.013841490301748981,0.030338338140293457,0.9619179881237436,2.5447270110570814e-05
29,0.032641429113278136,0.03197321381109456,0.053041247300047806,0.013780281841889888,0.031056420852857373,0.9598192779531238,7.149673872728739e-06
30,0.03219023645194112,0.03157109270830625,0.04818849069862694,0.013725888886677938,0.031005122429129298,0.960269955432638,0.001
31,0.03518427495399247,0.034557237752132874,0.04676645295019599,0.01593725559760587,0.031562073025017665,0.9586098610054321,0.0009984602081996976
32,0.035069137646317264,0.03449132667678962,0.04173742394651408,0.016043673667624807,0.032821531839685135,0.9564714745916677,0.0009938503261272714
33,0.03491186031369843,0.03439808806971363,0.035599779128434435,0.015777441149955426,0.03176552700512312,0.9592996429692288,0.0009861987752386395
34,0.034686047290249364,0.03421807113319528,0.031427188735941185,0.015370432950515786,0.03171797739240862,0.9599927598324473,0.0009755527298894294
35,0.03418901494191284,0.03376928018743469,0.027049679930011433,0.014923800381939804,0.03155250732024282,0.959882450175845,0.0009619778264893878
36,0.03392777515008398,0.03352505232855354,0.025781228348774755,0.014491060988275685,0.032117611514687616,0.958369334472304,0.0009455577588320898
37,0.033640685636361224,0.033278487646358386,0.021814631628871397,0.014405167214504943,0.03113190374820419,0.9608373878259053,0.0009263937620948692
